,movie_name,code,actor1_code,actor2_code,release,actor_power
0,택시운전사,20162869,10037018,10080533,2017-08-02,9530159.25
1,신과함께-죄와 벌,20150976,10087253,10071209,2017-12-20,6788585.5
2,공조,20151228,10088975,10054128,2017-01-18,4962138.0
3,스파이더맨: 홈 커밍,20167303,20272630,10016538,2017-07-05,6768579.6
4,범죄도시,20172742,10021341,10054204,2017-10-03,2826153.090909091
5,군함도,20161481,10090290,10036685,2017-07-26,8474499.125
6,청년경찰,20162442,20211007,20111688,2017-08-09,2522068.4
7,더 킹,20151229,10066899,10062025,2017-01-18,2948563.3333333335
8,미녀와 야수,20164721,10049635,10010368,2017-03-16,2237115.8333333335
9,킹스맨: 골든 서클,20175222,10076631,10069498,2017-09-27,1179201.25
10,토르: 라그나로크,20175121,10077282,20172889,2017-10-25,2158962.1818181816
11,꾼,20165748,10088975,10054008,2017-11-22,3332567.4
12,강철비,20170402,10062025,20127192,2017-12-14,2901583.222222222
13,남한산성,20165450,10055626,10005276,2017-10-03,2877449.0714285714
14,미이라,20166488,10081054,20120582,2017-06-06,2545823.0
15,분노의 질주: 더 익스트림,20167542,10033301,10013266,2017-04-12,1802730.9090909092
16,너의 이름은.,20161872,20115319,20264269,2017-01-04,1470470.8
17,슈퍼배드 3,20173403,10039193,10077417,2017-07-26,1406767.4444444445
18,아이 캔 스피크,20174142,10006877,10057349,2017-09-21,2587581.5
19,캐리비안의 해적: 죽은 자는 말이 없다,20170982,10065531,10073877,2017-05-24,1399399.6666666667
20,프리즌,20162181,10087518,10004028,2017-03-23,2211531.0
21,덩케르크,20164621,10081106,10024073,2017-07-20,1348390.3333333333
22,가디언즈 오브 갤럭시 VOL. 2,20163603,10077262,10065071,2017-05-03,1820937.111111111
23,살인자의 기억법,20154909,10035772,10003788,2017-09-06,1176145.5454545454
24,트랜스포머: 최후의 기사,20166967,20112216,10043531,2017-06-21,1227339.888888889
25,보안관,20162722,20110148,10067353,2017-05-03,2985835.0
26,조작된 도시,20150964,20187851,10040874,2017-02-09,1064059.8333333333
27,보스 베이비,20174061,10044466,10019661,2017-05-03,1857183.6666666667
28,재심,20166421,10062023,20111688,2017-02-15,2204430.5
29,박열,20178982,10057349,10072221,2017-06-28,2049671.3333333333
30,모아나,20165443,10013266,20256929,2017-01-12,1612854.1666666667
31,마스터,20161725,10055626,10000558,2016-12-21,3866053.5384615385
32,로건,20161827,10090817,10082650,2017-03-01,1104062.111111111
33,원더 우먼,20168261,10000433,10017363,2017-05-31,1116171.3333333333
34,겟 아웃,20175262,10074165,10046277,2017-05-17,2138146.0
35,혹성탈출: 종의 전쟁,20179901,10046099,10052042,2017-08-15,1002762.1111111111
